pmid,title,abstract,authors,journal,year,keywords,cleaned_text
DEMO00000,Demo paper on AI in healthcare 0,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00001,Demo paper on AI in healthcare 1,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00002,Demo paper on AI in healthcare 2,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00003,Demo paper on AI in healthcare 3,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00004,Demo paper on AI in healthcare 4,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00005,Demo paper on AI in healthcare 5,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00006,Demo paper on AI in healthcare 6,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00007,Demo paper on AI in healthcare 7,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00008,Demo paper on AI in healthcare 8,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00009,Demo paper on AI in healthcare 9,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
DEMO00010,Demo paper on AI in healthcare 10,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00011,Demo paper on AI in healthcare 11,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00012,Demo paper on AI in healthcare 12,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00013,Demo paper on AI in healthcare 13,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00014,Demo paper on AI in healthcare 14,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00015,Demo paper on AI in healthcare 15,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00016,Demo paper on AI in healthcare 16,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00017,Demo paper on AI in healthcare 17,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00018,Demo paper on AI in healthcare 18,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00019,Demo paper on AI in healthcare 19,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
DEMO00020,Demo paper on AI in healthcare 20,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00021,Demo paper on AI in healthcare 21,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00022,Demo paper on AI in healthcare 22,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00023,Demo paper on AI in healthcare 23,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00024,Demo paper on AI in healthcare 24,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00025,Demo paper on AI in healthcare 25,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00026,Demo paper on AI in healthcare 26,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00027,Demo paper on AI in healthcare 27,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00028,Demo paper on AI in healthcare 28,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00029,Demo paper on AI in healthcare 29,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
DEMO00030,Demo paper on AI in healthcare 30,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00031,Demo paper on AI in healthcare 31,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00032,Demo paper on AI in healthcare 32,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00033,Demo paper on AI in healthcare 33,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00034,Demo paper on AI in healthcare 34,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00035,Demo paper on AI in healthcare 35,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00036,Demo paper on AI in healthcare 36,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00037,Demo paper on AI in healthcare 37,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00038,Demo paper on AI in healthcare 38,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00039,Demo paper on AI in healthcare 39,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
DEMO00040,Demo paper on AI in healthcare 40,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00041,Demo paper on AI in healthcare 41,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00042,Demo paper on AI in healthcare 42,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00043,Demo paper on AI in healthcare 43,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00044,Demo paper on AI in healthcare 44,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00045,Demo paper on AI in healthcare 45,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00046,Demo paper on AI in healthcare 46,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00047,Demo paper on AI in healthcare 47,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00048,Demo paper on AI in healthcare 48,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00049,Demo paper on AI in healthcare 49,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
DEMO00050,Demo paper on AI in healthcare 50,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00051,Demo paper on AI in healthcare 51,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00052,Demo paper on AI in healthcare 52,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00053,Demo paper on AI in healthcare 53,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00054,Demo paper on AI in healthcare 54,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00055,Demo paper on AI in healthcare 55,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00056,Demo paper on AI in healthcare 56,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00057,Demo paper on AI in healthcare 57,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00058,Demo paper on AI in healthcare 58,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00059,Demo paper on AI in healthcare 59,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
DEMO00060,Demo paper on AI in healthcare 60,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00061,Demo paper on AI in healthcare 61,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00062,Demo paper on AI in healthcare 62,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00063,Demo paper on AI in healthcare 63,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00064,Demo paper on AI in healthcare 64,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00065,Demo paper on AI in healthcare 65,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00066,Demo paper on AI in healthcare 66,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00067,Demo paper on AI in healthcare 67,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00068,Demo paper on AI in healthcare 68,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00069,Demo paper on AI in healthcare 69,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
DEMO00070,Demo paper on AI in healthcare 70,Machine learning in healthcare improves diagnosis and treatment outcomes.,Author A0; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare machine learning in healthcare improves diagnosis and treatment outcomes
DEMO00071,Demo paper on AI in healthcare 71,Deep learning models for medical image analysis have shown high accuracy.,Author A1; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare deep learning models for medical image analysis have shown high accuracy
DEMO00072,Demo paper on AI in healthcare 72,Natural language processing enables extraction of clinical information from notes.,Author A2; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare natural language processing enables extraction of clinical information from notes
DEMO00073,Demo paper on AI in healthcare 73,AI literacy among clinicians and patients is essential for adoption.,Author A3; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare ai literacy among clinicians and patients is essential for adoption
DEMO00074,Demo paper on AI in healthcare 74,Ethical considerations in artificial intelligence for healthcare.,Author A4; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare ethical considerations in artificial intelligence for healthcare
DEMO00075,Demo paper on AI in healthcare 75,Predictive analytics support clinical decision making.,Author A5; Author B0,Nature,2020,machine learning; healthcare; AI,demo paper on ai in healthcare predictive analytics support clinical decision making
DEMO00076,Demo paper on AI in healthcare 76,Electronic health records and machine learning for risk stratification.,Author A6; Author B1,JAMA,2021,machine learning; healthcare; AI,demo paper on ai in healthcare electronic health records and machine learning for risk stratification
DEMO00077,Demo paper on AI in healthcare 77,Patient perception of AI in medicine and trust in algorithms.,Author A7; Author B2,Lancet,2022,machine learning; healthcare; AI,demo paper on ai in healthcare patient perception of ai in medicine and trust in algorithms
DEMO00078,Demo paper on AI in healthcare 78,Barriers to clinical adoption of artificial intelligence tools.,Author A8; Author B3,BMJ,2023,machine learning; healthcare; AI,demo paper on ai in healthcare barriers to clinical adoption of artificial intelligence tools
DEMO00079,Demo paper on AI in healthcare 79,Systematic review of AI applications in radiology and pathology.,Author A9; Author B4,PLOS One,2024,machine learning; healthcare; AI,demo paper on ai in healthcare systematic review of ai applications in radiology and pathology
